Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
ETHBTC,0.07458700,0.07607200,0.07416600,-0.00045700,-0.609%,111497.20760000
LTCBTC,0.00267900,0.00272400,0.00266200,-0.00003200,-1.180%,44387.66500000
BNBBTC,0.01417800,0.01428000,0.01391900,0.00020600,1.474%,40629.58500000
NEOBTC,0.00042000,0.00042500,0.00041300,-0.00000300,-0.709%,22007.56000000
QTUMETH,0.00187800,0.00187800,0.00182100,0.00004300,2.343%,2762.90000000
EOSETH,0.00076100,0.00076600,0.00071900,0.00002600,3.537%,99340.70000000
SNTETH,0.00001901,0.00001992,0.00001813,0.00000067,3.653%,3770870.00000000
BNTETH,0.00031400,0.00032900,0.00028600,0.00002400,8.276%,190458.60000000
BCCBTC,0.07908100,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
GASBTC,0.00011330,0.00012020,0.00011220,0.00000040,0.354%,209653.10000000
BNBETH,0.19000000,0.19250000,0.18370000,0.00380000,2.041%,29444.06300000
BTCUSDT,20218.17000000,20780.00000000,20026.00000000,-397.68000000,-1.929%,333173.88592000
ETHUSDT,1507.80000000,1578.58000000,1484.61000000,-39.20000000,-2.534%,987715.51410000
HSRBTC,0.00041400,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
OAXETH,0.00017780,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DNTETH,0.00002801,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MCOETH,0.00577200,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ICNETH,0.00166300,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MCOBTC,0.00021140,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WTCBTC,0.00001332,0.00001399,0.00001292,0.00000028,2.147%,154701.00000000
WTCETH,0.00023700,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LRCBTC,0.00001317,0.00001354,0.00001302,-0.00000009,-0.679%,1553326.00000000
LRCETH,0.00017684,0.00017932,0.00017356,0.00000029,0.164%,193134.00000000
QTUMBTC,0.00013980,0.00014000,0.00013650,0.00000130,0.939%,17667.70000000
YOYOBTC,0.00000008,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
